Time Temperature Pressure Volume Entropy N2 AR HE H O2 OH O H2 H2O HO2 H2O2 CO CO2 HCO CH3 CH4 CH2O T-CH2 S-CH2 C2H4 CH3O C2H5 C2H6 CH C2H2 C2H4OOH OC2H3OOH C2H3 CH2CHO C2H4O HCCO CH2CO C2H CH2OH CH3OH CH3CHO CH3CO C2H5OH CH2CH2OH CH3CHOH CH3CH2O C3H4 C3H3 C3H5 C3H6 C3H8 I-C3H7 N-C3H7 C3H6OOH OC3H5OOH C4H10 PC4H9 SC4H9 C4H8 SC4H9O2 C4H8OOH1-3 NC4KET13 CHCHO
0.00016666666666666666 299.93493563587356 101247.99713515345 7.175206494262685e-05 6891.678494594111 0.7669967771018 0.0 0.0 1.6788397545690645e-60 0.23299864955158608 1.965306198680706e-39 -1.1930287071059745e-61 7.050083724869265e-66 1.0964529867393383e-42 2.410770384823957e-36 1.2877750398817531e-50 4.573302491163486e-60 2.1383355661970238e-91 6.498951874952499e-79 3.040078295341879e-55 9.426505448058259e-89 2.8060372795608635e-59 1.697802992599423e-93 4.5170497006942864e-95 1.2802703670891956e-55 8.440784022871462e-72 6.247025551554345e-58 -1.3203446812319225e-75 5.503921409641593e-135 4.40304669969288e-91 1.2525750535710206e-58 1.1889400763650045e-54 1.1345681527989471e-94 8.288059338618556e-61 2.1561995981771601e-100 -2.7804584234857697e-134 2.160301550798732e-78 4.2395391541366e-139 9.391769711574734e-84 8.82026308640547e-89 3.571212623001005e-89 9.954883308009669e-116 6.371962027638931e-127 6.847287410384584e-90 4.417069644995971e-143 3.394657402873386e-89 1.6220322878663533e-74 4.3503583139675204e-99 9.00805378534153e-61 1.51816541041858e-36 4.573346614428065e-06 3.3187007688119703e-38 6.879931313801923e-42 1.2681596010274728e-42 1.0414775783488929e-38 1.0511211903943697e-73 2.2705700324177e-110 3.0573292368375005e-96 1.6361275419859686e-108 5.734264210697083e-93 5.083694545790716e-116 1.8091907375410104e-107 1.6470190328168552e-136
0.0003333333333333333 299.76127008309015 101042.60872525358 7.187983585392577e-05 6891.720083726556 0.7669740059211104 0.0 0.0 1.160710897936712e-59 0.2329917321113727 2.883582598658176e-38 -6.442521707501436e-62 6.988162246216966e-64 2.450803185429669e-40 3.5615603311712994e-35 2.868453532335031e-48 1.408285309696208e-58 8.165306335460529e-89 8.97626096644626e-78 4.3749092554270616e-54 4.102685313944835e-86 8.27300515178744e-58 3.5950967536757177e-91 9.515088242870296e-93 1.8571240240299476e-54 1.977392960737188e-70 4.320167384613224e-57 2.1281096538885347e-75 1.7033893086964138e-131 2.5675293087369933e-89 8.62049624694449e-58 1.7083937633144713e-53 3.6728508656180135e-92 1.2320087269382545e-59 9.318302958489668e-98 -6.724434527483299e-133 6.474264613848517e-77 3.578381801513197e-136 2.1604697410200636e-82 3.81434072599861e-86 1.0110214959357147e-86 5.858677097273883e-113 2.6131188752171477e-123 2.9849934584450073e-87 1.2127555501915937e-139 4.559830581657188e-87 9.594405096681486e-73 4.868135152418655e-97 2.6534034709860626e-59 2.2551473640189658e-35 3.426196751734835e-05 2.393627714366031e-37 4.981928599148698e-41 9.121300260072018e-42 1.5395511449452328e-37 3.0724927351737645e-73 6.92790086229326e-110 6.488345479324356e-94 1.4188216143931417e-105 2.498190403568622e-90 1.5286822037601687e-115 2.757846472544479e-106 1.4565432772489805e-133
0.0005 299.5059514080474 100740.8887247477 7.209274412758776e-05 6891.805361488618 0.7669171156818693 0.0 0.0 3.2698667756276484e-59 0.23297444996715572 1.316734176091253e-37 3.338167139582496e-61 9.698538340240066e-63 5.4089359508662724e-39 1.6345568691419526e-34 6.26151591717111e-47 9.771121096895724e-58 2.525362027551718e-87 3.748833311880075e-77 1.951630592371176e-53 1.294710145117338e-84 5.647696259512727e-57 7.32275431692196e-90 1.931438716633786e-91 8.497309194477627e-54 1.0931291601872015e-69 1.2146082096660083e-56 1.0834290272497509e-74 1.5749842776465658e-129 2.583543510942579e-88 2.4063129230747966e-57 7.56575705292397e-53 1.1045276552737579e-90 5.547501551134535e-59 2.9367692762876267e-96 3.544697305103429e-131 4.315836800319681e-76 1.6095883564116203e-134 1.162293391551192e-81 1.1992492158559562e-84 2.2999342510891728e-85 2.0431874019182427e-111 2.6897528505925837e-121 9.58417761444815e-86 1.2779040233334883e-137 6.575378614640583e-86 9.720691955227077e-72 6.91430380188257e-96 1.7931061606690198e-58 1.0368935988170303e-34 0.00010843435097532245 7.0974114652252034e-37 1.5569395352271802e-40 2.8222009957085606e-41 7.244571234691558e-37 3.4353710200515305e-73 9.838848656138145e-110 1.3161781067314851e-92 6.591787525065012e-104 7.836522029922386e-89 2.1225584609788773e-115 7.115407962719594e-106 6.689381946705531e-132
0.0006666666666666666 299.19013391452347 100367.78352821374 7.239072490969021e-05 6891.93648067557 0.7668152010536685 0.0 0.0 6.314596695968552e-59 0.23294349029242267 3.7072549241953524e-37 2.3559098671379148e-60 5.744214794326298e-62 4.6039862817621937e-38 4.626766565852198e-34 5.251302837365966e-46 3.7373863943810334e-57 2.677799512473023e-86 9.452700040166651e-77 5.387362101125724e-53 1.3867574114614255e-83 2.122746883142171e-56 5.6856854338469014e-89 1.4946156804078073e-90 2.4830128065384735e-53 3.3530076589306114e-69 2.3338506895309413e-56 3.583271509494202e-74 3.417907685557789e-128 1.2838368915092843e-87 4.582698293304335e-57 2.0516193896496418e-52 1.1395366479739271e-89 1.5717895984746778e-58 3.1969484562798555e-95 1.2391229446488101e-129 1.5704575451253262e-75 2.1928287229834637e-133 3.4467895883878137e-81 1.280028529998297e-83 1.8696363662493351e-84 2.2491264966688312e-110 6.10108827271745e-120 1.0690126838827078e-84 2.9399421179851337e-136 3.8042834958612606e-85 4.742160738870451e-71 4.165809389276336e-95 6.582571238075866e-58 2.9377601573191406e-34 0.00024130865390928162 1.4538963047995788e-36 3.646094241783341e-40 6.527625844576115e-41 2.1937638050329327e-36 3.902345563741543e-74 1.7857005824862745e-110 1.0153008711095802e-91 9.149343642411273e-103 8.317845693591602e-88 3.7520163380445057e-116 1.1873629245633025e-105 9.253341129883178e-131
0.0008333333333333333 298.83048109073576 99942.60628160021 7.277368743240025e-05 6892.112085273573 0.76666055776656 0.0 0.0 9.825561526589853e-59 0.23289651268034628 7.98719365551729e-37 5.763434761491462e-60 2.131471603463809e-61 2.3198953429131645e-37 1.0028690597783223e-33 2.600932971476159e-45 1.0505385389827241e-56 1.576066858475381e-85 1.7969597041849146e-76 1.151163758580341e-52 8.232726904526779e-83 5.801045531468729e-56 2.6138279927649085e-88 6.846909336593446e-90 5.847161335057479e-53 7.501513511732381e-69 3.6228256127686187e-56 4.963671075803809e-74 3.3572607395519725e-127 4.437446678388235e-87 7.041711622409147e-57 4.237652354845558e-52 6.479990804722006e-89 3.564053520318911e-58 1.9804862747092396e-94 1.0019842293589446e-128 4.166632276752349e-75 1.5839889020093528e-132 7.419793745954837e-81 7.570522314606107e-83 8.646218191262422e-84 1.3232608456386512e-109 6.023550405809764e-119 6.812327154756957e-84 2.887425214747961e-135 1.3323707263736125e-84 1.543550377399505e-70 1.5589976527957348e-94 1.723566319496207e-57 6.371307280950015e-34 0.00044292955309417755 2.4260926264502254e-36 7.662877390131793e-40 1.352591043186258e-40 5.390423360113092e-36 -6.66734566543763e-73 -4.9138012619438655e-109 4.631786877611872e-91 6.547823262098608e-102 4.884129627710617e-87 -1.0022795011920379e-114 1.4037768841422702e-106 6.776535806754133e-130
0.001 298.44014718880686 99480.23252053915 7.324151504162367e-05 6892.3293053766065 0.766448088622992 0.0 0.0 1.3357498982285178e-58 0.23283196870180478 1.4511999034996505e-36 7.719846653561388e-60 5.871963816938971e-61 8.38252590186917e-37 1.8347330171719202e-33 9.224283854892743e-45 2.472060283161947e-56 6.422720824583801e-85 2.8521623116678764e-76 2.1128591994612e-52 3.384568619215048e-82 1.3091857318569735e-55 8.702464189985546e-88 2.271179856274937e-89 1.2270986990171107e-52 1.3885367374270561e-68 4.907155162609874e-56 2.3766036028381217e-74 2.0126928192952317e-126 1.2460579422700647e-86 9.433054844363428e-57 7.361442862413014e-52 2.5218948148854334e-88 7.183144478325147e-58 8.739098356200637e-94 3.386710913319025e-128 9.193572188974578e-75 7.81831900292469e-132 1.3170403401314528e-80 3.0991550238515847e-82 2.800273244064461e-83 5.29229604919899e-109 3.5120513046784544e-118 3.1007721730651097e-83 1.6526343120958806e-134 3.3972623027203977e-84 3.883015170971845e-70 4.305182339131981e-94 3.639580409710297e-57 1.1660649489614364e-33 0.0007199426752033542 3.5537154498668906e-36 1.5305175655793644e-39 2.660223291097099e-40 1.1877719054658617e-35 -1.1702494421732557e-72 -1.3933410594713127e-108 1.5295889298073806e-90 3.0951198426159635e-101 1.9834375747676563e-86 -7.129605321018571e-114 -4.529980105279679e-105 3.390518226824423e-129
0.0011666666666666668 298.0295275502823 98992.06253477758 7.379406523253874e-05 6892.584728405575 0.7661748225695215 0.0 0.0 1.653610814955057e-58 0.23274895580875518 2.3431708950209054e-36 1.6255080544849429e-59 1.3183171281184264e-60 2.407038718816914e-36 2.9858527365803964e-33 2.5978583470909184e-44 5.2016932903500815e-56 2.0440952771820676e-84 3.998675890501386e-76 3.526279003867951e-52 1.087333456479036e-81 2.6123638874855362e-55 2.341119143758317e-87 6.086350641556753e-89 2.3933423852200997e-52 2.2794426406765607e-68 6.052559335765765e-56 -3.749981283424713e-73 8.660501818828031e-126 3.0686639158799596e-86 1.1499747090961422e-56 1.135082983585853e-51 7.553783402474561e-88 1.3448078006670526e-57 3.0797002984337163e-93 1.4821326901601523e-127 1.8040560750511106e-74 3.0023063556024673e-131 2.068646286438227e-80 9.908275181403217e-82 7.103219776764508e-83 1.6461212726914644e-108 1.4253921029114552e-117 1.129195595752639e-82 6.528248563052422e-134 6.96815988928996e-84 8.174119668526343e-70 9.63176321844889e-94 6.624363674343105e-57 1.898182081802621e-33 0.00107622162172326 4.759227068798991e-36 2.9186488972468872e-39 4.991142156705268e-40 2.4446257564923033e-35 -3.500559164343296e-72 -6.329043779538708e-108 4.081815360148392e-90 1.1055361270839328e-100 6.288653749237521e-86 -1.7707316334043504e-113 -2.1133286905959848e-104 1.320449754681367e-128
0.0013333333333333335 297.6068383504194 98486.79024411793 7.443116969300457e-05 6892.874890223937 0.7658395189225581 0.0 0.0 1.9123321028653343e-58 0.23264709710574044 3.470072364506972e-36 1.901036341885681e-59 2.5498811012355547e-60 5.841961410849217e-36 4.461676998700244e-33 6.182868260347495e-44 1.0117268230472747e-55 5.461446675573194e-84 5.126682551606558e-76 5.53121243836347e-52 2.9348558512267686e-81 4.791447973905595e-55 5.4289296310929745e-87 1.4057894390991092e-88 4.400590462271031e-52 3.459385944735398e-68 6.979608824462474e-56 -8.679002418409256e-73 2.945603285032056e-125 6.872930473661802e-86 1.3102125708096118e-56 1.605347509460722e-51 1.86953791986545e-87 2.3738344629012483e-57 9.211806149519724e-93 3.2536515079982327e-127 3.2587645888134448e-74 9.606682434300326e-131 2.9996520051937936e-80 2.659521028643056e-81 1.509715856486942e-82 4.338848501633899e-108 4.447110478203402e-117 3.493386362669844e-82 1.9717505438210528e-133 1.2214267823123891e-83 1.5108754548116332e-69 1.8476758177263533e-93 1.0819345266542854e-56 2.8369947220940377e-33 0.001513383971701198 5.973665702283093e-36 5.2729479364592096e-39 8.867108295423737e-40 4.7590104796467997e-35 -4.57770150997776e-72 -1.1915919470173157e-107 9.394471475251475e-90 3.2360142835208867e-100 1.6741293975100956e-85 -1.1886341888159387e-111 -6.816927540638243e-104 4.2887380683610613e-128
0.0015000000000000002 297.1785679440562 97971.01309155334 7.515263435483079e-05 6893.196518267217 0.7654423376906007 0.0 0.0 2.1053920601278122e-58 0.23252644120021893 4.8111320925476286e-36 1.5771001375451594e-59 4.4088355451225186e-60 1.2472055893403448e-35 6.249353201235863e-33 1.2947745188937358e-43 1.8483655073154483e-55 1.2823213549170574e-83 6.150827657933809e-76 8.309599971455234e-52 6.967539606725188e-81 8.259409729795662e-55 1.1288936276212463e-86 2.911360049558127e-88 7.659050038259888e-52 4.9772976359146605e-68 7.658397805776085e-56 -1.1885866795696902e-72 8.4099405764111e-125 1.4236112686817036e-85 1.4201175180902138e-56 2.1278024314554594e-51 4.004515242419327e-87 3.967033681460339e-57 2.4198005451577545e-92 4.540241064532598e-127 5.514642931124242e-74 2.6601264971996478e-130 4.120793778856073e-80 6.273547460539259e-81 2.809446024632643e-82 1.0275308039857651e-107 1.1378802695538514e-116 9.491784033748805e-82 4.86840433173052e-133 1.903657469957272e-83 2.530349741827019e-69 3.1543422237439786e-93 1.6280165024050386e-56 3.9743615518533444e-33 0.0020312211091799595 7.142956942382888e-36 8.988071006619394e-39 1.4858947337375708e-39 8.784463762774106e-35 -4.2443516786037223e-72 -1.5015973689123995e-107 1.9406090016010112e-89 8.176016287902701e-100 3.9183993094671107e-85 3.275790153954419e-108 -1.369230431978246e-103 1.2067530412463396e-127
0.001666666666666667 296.7498300743927 97449.7125246638 7.595823945289242e-05 6893.546640893008 0.764984562534443 0.0 0.0 2.233548056803151e-58 0.23238737804328374 6.333622432365303e-36 9.890828408336728e-60 6.988385392147318e-60 2.4071195660374462e-35 8.32261736850505e-33 2.4528476902203085e-43 3.1977317219946367e-55 2.7257323770578242e-83 7.017603988540871e-76 1.2078664078389337e-51 1.4989593579265009e-80 1.3550873211019484e-54 2.156757861700203e-86 5.539362185299303e-88 1.2646990758853586e-51 6.890018012407321e-68 8.094965475033597e-56 -1.3026862798406873e-72 2.094762925807691e-124 2.7513986123584566e-85 1.4827041768136577e-56 2.682715384727658e-51 7.66389253869803e-87 6.290398500162681e-57 5.7023261724263826e-92 4.456985170575298e-127 8.826576748621188e-74 6.5254479240682074e-130 5.445833767499962e-80 1.3397628303494723e-80 4.718337307341788e-82 2.2738467958225058e-107 2.4966461085536544e-116 2.3121102796219366e-81 1.0290319730196634e-132 2.7114031835536114e-83 3.9238848648595306e-69 4.917588681465291e-93 2.2983416565003435e-56 5.2935986782949226e-33 0.0026280594222726876 8.229295387551474e-36 1.4472314620157086e-38 2.3519223985556595e-39 1.53906176129583e-34 -3.373924519629431e-72 -1.5504361239431957e-107 3.68772582473256e-89 1.8455012844449954e-99 8.308879305479591e-85 -3.7356860406783914e-104 -1.699932177547209e-103 3.011776331006692e-127
